English,Indonesia
the,itu
of,dari
and,Dan
to,ke
in,di dalam
a,A
is,adalah
was,adalah
for,untuk
as,sebagai
with,dengan
by,oleh
on,pada
are,adalah
from,dari
be,menjadi
or,atau
his,miliknya
were,adalah
it,dia
an,sebuah
at,pada
not,bukan
which,yang
have,memiliki
he,Dia
had,telah
this,ini
has,memiliki
also,Juga
their,milik mereka
but,Tetapi
one,satu
can,Bisa
its,-nya
on,pada
the,itu
other,lainnya
been,pernah
more,lagi
they,mereka
used,digunakan
first,Pertama
all,semua
two,dua
citation,kutipan
than,dibandingkan
into,ke dalam
would,akan
only,hanya
who,WHO
most,paling
may,mungkin
such,seperti
some,beberapa
many,banyak
when,Kapan
after,setelah
between,di antara
over,lebih
these,ini
her,dia
about,tentang
there,di sana
use,menggunakan
no,TIDAK
them,mereka
new,baru
him,dia
will,akan
out,keluar
during,selama
made,dibuat
both,keduanya
then,Kemudian
often,sering
so,Jadi
any,setiap
being,makhluk
such,seperti
as,sebagai
where,Di mana
number,nomor
could,bisa
main,utama
p.,P.
through,melalui
system,sistem
people,rakyat
known,diketahui
each,setiap
while,ketika
if,jika
called,ditelepon
convert,mengubah
same,sama
later,Nanti
three,tiga
because,Karena
well,Sehat
work,bekerja
before,sebelum
the,itu
same,sama
under,di bawah
part,bagian
very,sangat
different,berbeda
became,menjadi
year,tahun
did,telah melakukan
large,besar
example,contoh
several,beberapa
city,kota
early,lebih awal
until,sampai
much,banyak
government,pemerintah
found,ditemukan
own,memiliki
since,sejak
she,dia
even,bahkan
form,membentuk
power,kekuatan
do,Mengerjakan
those,itu
around,sekitar
state,negara
including,termasuk
set,mengatur
high,tinggi
life,kehidupan
against,melawan
second,Kedua
century,abad
within,di dalam
world,dunia
still,tetap
end,akhir
using,menggunakan
small,kecil
name,nama
now,Sekarang
usually,biasanya
American,Amerika
without,tanpa
however,Namun
began,dimulai
like,menyukai
as,sebagai
well,Sehat
area,daerah
make,membuat
common,umum
the,itu
most,paling
water,air
United,Serikat
States,Amerika
another,lain
way,jalan
due,jatuh tempo
must,harus
long,panjang
less,lebih sedikit
four,empat
death,kematian
said,dikatakan
film,film
order,memesan
due,jatuh tempo
to,ke
back,kembali
public,publik
does,melakukan
left,kiri
based,berdasarkan
few,sedikit
become,menjadi
known,diketahui
as,sebagai
s,S
given,diberikan
country,negara
major,besar
British,Inggris
place,tempat
group,kelompok
considered,dipertimbangkan
among,di antara
game,permainan
point,titik
used,digunakan
to,ke
period,periode
support,mendukung
war,perang
music,musik
down,turun
million,juta
important,penting
systems,sistem
control,kontrol
should,sebaiknya
took,telah mengambil
day,hari
family,keluarga
language,bahasa
last,terakhir
result,hasil
political,politik
line,garis
members,anggota
case,kasus
as,sebagai
well,Sehat
as,sebagai
see,melihat
single,lajang
just,hanya
process,proses
along,bersama
similar,serupa
take,mengambil
following,mengikuti
we,Kami
although,meskipun
countries,negara
right,Kanan
either,salah satu
times,kali
areas,daerah
published,diterbitkan
the,itu
other,lainnya
population,populasi
never,tidak pernah
data,data
home,rumah
every,setiap
various,bermacam-macam
the,itu
time,waktu
further,lebih jauh
development,perkembangan
per,per
how,Bagaimana
led,dipimpin
military,militer
popular,populer
term,ketentuan
though,meskipun
history,sejarah
generally,umumnya
you,Anda
off,mati
rather,lebih tepatnya
men,laki-laki
law,hukum
developed,dikembangkan
German,Jerman
held,dipegang
human,manusia
production,produksi
body,tubuh
general,umum
the,itu
world,dunia
light,lampu
sometimes,Kadang-kadang
states,negara bagian
late,terlambat
field,bidang
based,berdasarkan
on,pada
having,memiliki
came,telah datang
above,di atas
available,tersedia
book,buku
others,yang lain
York,York
next,Berikutnya
created,dibuat
U.S.,KITA.
show,menunjukkan
himself,diri
out,keluar
of,dari
wrote,menulis
days,hari
died,mati
word,kata
play,bermain
again,lagi
great,Besar
service,melayani
age,usia
seen,terlihat
children,anak-anak
level,tingkat
released,dilepaskan
works,bekerja
continued,lanjutan
pp.,hal.
the,itu
two,dua
five,lima
higher,lebih tinggi
species,jenis
energy,energi
required,diperlukan
change,mengubah
means,cara
team,tim
January,Januari
information,informasi
theory,teori
New,Baru
York,York
produced,diproduksi
making,membuat
built,dibuat
design,desain
role,peran
addition,tambahan
included,termasuk
almost,hampir
side,samping
position,posisi
groups,kelompok
able,mampu
land,tanah
total,total
range,jangkauan
July,Juli
national,nasional
space,ruang angkasa
written,tertulis
social,sosial
version,versi
Europe,Eropa
season,musim
force,memaksa
air,udara
allowed,diizinkan
largest,terbesar
good,Bagus
type,jenis
itself,diri
received,diterima
women,wanita
low,rendah
throughout,selama
taken,diambil
standard,standar
little,kecil
least,paling sedikit
that,itu
is,adalah
free,bebas
cases,kasus
size,ukuran
thus,dengan demikian
school,sekolah
especially,khususnya
old,tua
upon,pada
particular,tertentu
terms,ketentuan
effect,memengaruhi
provide,menyediakan
lower,lebih rendah
certain,yakin
together,bersama
present,hadiah
always,selalu
short,pendek
parts,bagian
words,kata-kata
third,ketiga
April,April
described,dijelaskan
too,juga
up,ke atas
to,ke
established,didirikan
might,mungkin
played,dimainkan
forces,kekuatan
natural,alami
June,Juni
once,sekali
months,bulan
rate,kecepatan
European,Eropa
numbers,angka
six,enam
man,pria
rather,lebih tepatnya
than,dibandingkan
hand,tangan
typically,khas
value,nilai
England,Inggris
London,London
October,Oktober
could,bisa
be,menjadi
final,terakhir
the,itu
country,negara
September,September
average,rata-rata
France,Perancis
instead,alih-alih
current,saat ini
December,Desember
international,internasional
program,program
character,karakter
increased,ditingkatkan
a,A
few,sedikit
surface,permukaan
across,lintas
thought,pikiran
company,perusahaan
followed,diikuti
best,terbaik
provided,asalkan
economic,ekonomis
games,pertandingan
significant,penting
named,bernama
function,fungsi
building,bangunan
went,telah pergi
return,kembali
uses,kegunaan
fact,fakta
study,belajar
below,di bawah
full,penuh
source,sumber
lost,hilang
America,Amerika
person,orang
a,A
number,nomor
changes,perubahan
longer,lebih lama
research,riset
individual,individu
languages,bahasa
strong,kuat
structure,struktur
party,berpesta
larger,lebih besar
run,berlari
open,membuka
cause,menyebabkan
aircraft,pesawat terbang
away,jauh
far,jauh
region,wilayah
need,membutuhkan
food,makanan
forms,formulir
increase,meningkatkan
outside,di luar
started,dimulai
material,bahan
November,November
half,setengah
head,kepala
market,pasar
near,di dekat
record,catatan
traditional,tradisional
special,spesial
style,gaya
all,semua
the,itu
sent,terkirim
story,cerita
February,Februari
player,pemain
designed,dirancang
top,atas
at,pada
least,paling sedikit
themselves,diri
model,model
returned,kembali
band,pita
because,Karena
of,dari
help,membantu
types,jenis
come,datang
points,poin
added,ditambahkan
events,acara
limited,terbatas
nature,alam
army,tentara
former,mantan
father,ayah
close,menutup
view,melihat
allow,mengizinkan
won,won
specific,spesifik
elements,elemen
practice,praktik
lines,garis
gave,telah memberi
pressure,tekanan
introduced,diperkenalkan
produce,menghasilkan
moved,terharu
whether,apakah
religious,keagamaan
put,meletakkan
official,resmi
movement,pergerakan
my,-ku
Germany,Jerman
students,siswa
trade,berdagang
method,metode
attack,menyerang
in,di dalam
order,memesan
problems,masalah
art,seni
eventually,pada akhirnya
evidence,bukti
referred,dirujuk
results,hasil
caused,disebabkan
remained,tetap
influence,pengaruh
success,kesuksesan
meaning,arti
brought,telah membawa
believed,percaya
enough,cukup
features,fitur
give,memberi
young,muda
white,putih
culture,budaya
problem,masalah
characters,karakter
lead,memimpin
action,tindakan
according,menurut
referred,dirujuk
to,ke
conditions,kondisi
performance,pertunjukan
according,menurut
to,ke
effects,efek
amount,jumlah
black,hitam
business,bisnis
working,bekerja
better,lebih baik
difficult,sulit
temperature,suhu
education,pendidikan
real,nyata
money,uang
smaller,lebih kecil
create,membuat
located,terletak
directly,secara langsung
sound,suara
leading,terkemuka
ground,tanah
therefore,Karena itu
get,mendapatkan
private,pribadi
formed,terbentuk
particularly,khususnya
Chinese,Cina
television,televisi
subject,subjek
south,selatan
cities,kota
album,album
class,kelas
industry,industri
computer,komputer
beginning,awal
community,masyarakat
already,sudah
complete,menyelesaikan
go,pergi
players,pemain
associated,terkait
related,terkait
physical,fisik
town,kota
move,bergerak
complex,kompleks
interest,minat
rule,aturan
speed,kecepatan
commonly,umumnya
in,di dalam
order,memesan
to,ke
rights,hak
living,hidup
for,untuk
example,contoh
greater,lebih besar
find,menemukan
growth,pertumbuhan
killed,terbunuh
court,pengadilan
levels,tingkat
house,rumah
against,melawan
the,itu
office,kantor
done,Selesai
shows,menunjukkan
Spanish,Spanyol
needed,diperlukan
saw,gergaji
central,pusat
entire,seluruh
fire,api
son,putra
books,buku
mostly,sebagian besar
access,mengakses
soon,segera
today,Hari ini
earlier,lebih awal
variety,variasi
additional,tambahan
percent,persen
foreign,luar negeri
ever,pernah
recorded,tercatat
future,masa depan
widely,secara luas
title,judul
all,semua
of,dari
shown,ditampilkan
successful,berhasil
radio,radio
project,proyek
construction,konstruksi
changed,berubah
king,raja
remains,tetap
mass,massa
personal,pribadi
policy,kebijakan
code,kode
includes,termasuk
involved,terlibat
Africa,Afrika
idea,ide
names,nama
separate,memisahkan
base,basis
length,panjang
rules,aturan
key,kunci
units,unit
likely,mungkin
makes,membuat
release,melepaskan
cost,biaya
church,gereja
films,film
majority,mayoritas
performed,dilakukan
methods,metode
stated,menyatakan
appear,muncul
whole,utuh
so,Jadi
that,itu
member,anggota
allows,memungkinkan
decided,diputuskan
Japanese,Jepang
reported,dilaporkan
sold,terjual
capital,modal
science,sains
society,masyarakat
rest,istirahat
stage,panggung
event,peristiwa
whose,yang
recent,terkini
color,warna
legal,legal
highly,sangat
career,karier
song,lagu
frequently,sering
placed,ditempatkan
simple,sederhana
defined,didefinisikan
me,Saya
mother,ibu
appeared,muncul
India,India
schools,sekolah
turn,berbelok
simply,hanya
relationship,hubungan
multiple,banyak
nearly,hampir
sense,nalar
past,masa lalu
relatively,relatif
forced,dipaksa
software,perangkat lunak
attempt,percobaan
north,utara
William,William
quickly,dengan cepat
companies,perusahaan
programs,program
products,produk
direct,langsung
site,lokasi
sources,sumber
previous,sebelumnya
technology,teknologi
battle,pertempuran
front,depan
provides,menyediakan
necessary,diperlukan
served,dilayani
originally,semula
along,bersama
with,dengan
approach,mendekati
image,gambar
seven,tujuh
experience,pengalaman
Greek,Orang yunani
parts,bagian
of,dari
text,teks
towards,terhadap
completed,selesai
memory,ingatan
ability,kemampuan
commercial,komersial
UK,Inggris
health,kesehatan
replaced,diganti
worked,bekerja
yet,belum
start,awal
economy,ekonomi
highest,paling tinggi
property,milik
behind,di belakang
knowledge,pengetahuan
test,tes
response,tanggapan
largely,sebagian besar
sea,laut
reached,dicapai
president,presiden
wide,lebar
night,malam
operations,operasi
supported,didukung
act,bertindak
training,pelatihan
reason,alasan
Britain,Britania
list,daftar
issues,masalah
occur,terjadi
loss,kehilangan
the,itu
government,pemerintah
reduced,berkurang
active,aktif
remain,tetap
lack,kekurangan
to,ke
do,Mengerjakan
clear,jernih
gas,gas
island,pulau
cells,sel
taking,memukau
contains,berisi
takes,dibutuhkan
approximately,sekitar
exist,ada
basis,dasar
distance,jarak
independent,mandiri
intended,disengaja
elected,terpilih
product,produk
adopted,diadopsi
actually,Sebenarnya
wife,istri
ended,berakhir
born,dilahirkan
Christian,Kristen
keep,menyimpan
potential,potensi
course,kursus
matter,urusan
love,Cinta
issue,masalah
objects,objek
things,hal-hal
heavy,berat
oil,minyak
center,tengah
regular,biasa
George,George
the,itu
following,mengikuti
divided,terbagi
eight,delapan
date,tanggal
James,Yakobus
summer,musim panas
direction,arah
laws,hukum
numerous,banyak sekali
account,akun
income,penghasilan
concept,konsep
plan,rencana
announced,diumumkan
Russian,Rusia
failed,gagal
applied,terapan
values,nilai-nilai
northern,utara
proposed,diajukan
ships,kapal
resulting,dihasilkan
estimated,diperkirakan
appears,muncul
continue,melanjutkan
Canada,Kanada
red,merah
married,telah menikah
object,obyek
studies,studi
media,media
engine,mesin
passed,lulus
Henry,Henry
Australia,Australia
machine,mesin
quality,kualitas
founded,didirikan
hold,memegang
say,mengatakan
parties,pesta
letter,surat
Japan,Jepang
expected,mengharapkan
treatment,perlakuan
normal,normal
signal,sinyal
blood,darah
financial,finansial
status,status
video,video
older,lebih tua
carried,telah membawa
compared,dibandingkan
know,tahu
wanted,diinginkan
accepted,diterima
via,melalui
read,membaca
each,setiap
other,lainnya
types,jenis
of,dari
turned,berbalik
unit,satuan
feature,fitur
southern,selatan
increasing,meningkat
met,bertemu
prevent,mencegah
songs,lagu
applications,aplikasi
require,memerlukan
opened,dibuka
marriage,pernikahan
contain,berisi
equipment,peralatan
playing,bermain
section,bagian
remaining,tersisa
properties,properti
asked,diminta
the,itu
case,kasus
ten,sepuluh
Charles,Charles
activity,aktivitas
whom,yang
ways,cara
buildings,bangunan
basic,dasar
probably,mungkin
running,berlari
materials,bahan
stories,cerita
edition,edisi
location,lokasi
noted,dicatat
cell,sel
analysis,analisa
Russia,Rusia
Rome,Roma
removed,DIHAPUS
becomes,menjadi
paper,kertas
activities,kegiatan
billion,miliar
fall,jatuh
child,anak
cut,memotong
operating,beroperasi
degree,derajat
ship,mengirimkan
occurs,terjadi
less,lebih sedikit
than,dibandingkan
novel,novel
completely,sama sekali
except,kecuali
inside,di dalam
Robert,Robert
troops,pasukan
Jewish,Yahudi
report,laporan
call,panggilan
flow,mengalir
metal,logam
appointed,ditunjuk
offered,ditawarkan
told,diberi tahu
frequency,frekuensi
initial,awal
campaign,kampanye
discovered,telah menemukan
definition,definisi
historical,historis
models,model
allowing,memungkinkan
operation,operasi
police,POLISI
poor,miskin
weight,berat
not,bukan
have,memiliki
ancient,kuno
here,Di Sini
primarily,terutama
agreed,sepakat
hit,memukul
west,Barat
heat,panas
security,keamanan
David,Daud
claimed,diklaim
positive,positif
easily,dengan mudah
environment,lingkungan
scientific,ilmiah
going,pergi
regions,wilayah
ISBN,ISBN
ball,bola
tradition,tradisi
reach,mencapai
requires,memerlukan
St.,St.
extended,diperpanjang
charge,mengenakan biaya
female,perempuan
face,menghadapi
serve,melayani
equal,setara
Italy,Italia
letters,surat
refused,ditolak
immediately,langsung
believe,meyakini
supply,memasok
effective,efektif
internal,intern
versions,versi
cultural,kultural
leave,meninggalkan
th,th
mainly,terutama
negative,negatif
soldiers,tentara
question,pertanyaan
spread,menyebar
suggested,disarankan
